customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST20,Male,0,Yes,No,29,Yes,DSL,Two year,Electronic check,0.57,-198.53,Yes
CUST21,Female,0,Yes,Yes,49,Yes,Fiber optic,Two year,Mailed check,91.36,4563.96,No
CUST22,Male,0,Yes,Yes,4,Yes,No,Two year,Bank transfer,15.47,141.44,No
CUST23,Female,0,No,Yes,12,Yes,DSL,Month-to-month,Electronic check,63.7,762.4,Yes
CUST24,Female,0,Yes,No,48,Yes,Fiber optic,Month-to-month,Mailed check,48.73,2206.31,No
CUST25,Female,0,Yes,Yes,49,Yes,Fiber optic,Month-to-month,Bank transfer,59.18,2966.51,No
CUST26,Female,0,Yes,Yes,13,Yes,Fiber optic,Month-to-month,Electronic check,24.12,289.06,No
CUST27,Female,1,Yes,No,45,Yes,Fiber optic,Month-to-month,Electronic check,119.8,5112.96,No
CUST28,Female,0,Yes,Yes,33,Yes,DSL,Month-to-month,Bank transfer,31.4,1114.02,No
CUST29,Female,1,Yes,No,70,Yes,DSL,Two year,Credit card,33.77,2480.26,No
CUST30,Female,0,Yes,Yes,46,Yes,Fiber optic,Month-to-month,Credit card,123.84,5830.57,No
CUST31,Male,0,Yes,Yes,59,Yes,No,Month-to-month,Credit card,79.68,4573.42,No
CUST32,Male,0,Yes,Yes,10,Yes,DSL,Month-to-month,Credit card,32.37,132.02,No
CUST33,Female,0,No,No,49,Yes,Fiber optic,One year,Electronic check,66.14,3199.82,Yes
CUST34,Female,0,Yes,Yes,3,Yes,DSL,Month-to-month,Credit card,62.93,,No
CUST35,Female,0,No,Yes,40,Yes,Fiber optic,Month-to-month,Bank transfer,19.37,680.52,No
CUST36,Male,0,No,Yes,58,Yes,Fiber optic,Two year,Electronic check,47.25,2581.4,No
CUST37,Female,0,No,No,59,Yes,Fiber optic,One year,Credit card,69.21,4155.85,No
CUST38,Male,0,Yes,No,61,Yes,No,One year,Bank transfer,107.99,6552.87,Yes
CUST39,Male,0,No,No,24,Yes,DSL,Two year,Mailed check,64.34,1606.42,No
CUST40,Male,0,No,No,32,Yes,DSL,Month-to-month,Electronic check,66.59,2132.46,No
CUST41,Male,0,No,No,18,Yes,No,One year,Bank transfer,45.54,803.11,No
CUST42,Male,0,Yes,No,56,No,DSL,Month-to-month,Credit card,102.88,,Yes
CUST43,Female,0,No,Yes,14,Yes,Fiber optic,One year,Bank transfer,97.07,,No
CUST44,Female,0,Yes,Yes,40,Yes,Fiber optic,Month-to-month,Electronic check,93.68,3701.35,No
CUST45,Female,1,No,Yes,68,Yes,Fiber optic,Month-to-month,Mailed check,73.36,4878.35,No
CUST46,Female,0,No,Yes,59,Yes,DSL,Month-to-month,Credit card,22.04,1348.69,Yes
CUST47,Female,0,Yes,Yes,21,Yes,DSL,Month-to-month,Bank transfer,102.6,2279.35,No
CUST48,Male,0,Yes,No,42,Yes,Fiber optic,Month-to-month,Mailed check,71.72,2962.19,No
CUST49,Female,0,No,No,31,Yes,DSL,Month-to-month,Electronic check,60.74,2069.55,No
CUST50,Female,0,No,No,12,Yes,Fiber optic,One year,Credit card,83.45,,No
CUST51,Male,0,No,Yes,37,Yes,Fiber optic,Month-to-month,Mailed check,76.73,2864.83,No
CUST52,Female,0,Yes,No,25,Yes,DSL,Month-to-month,Electronic check,37.92,1013.5,No
CUST53,Male,0,Yes,Yes,4,Yes,DSL,One year,Credit card,60.38,339.03,No
CUST54,Female,0,No,No,48,Yes,No,One year,Bank transfer,12.88,572.78,Yes
CUST55,Male,0,No,Yes,4,Yes,Fiber optic,Month-to-month,Mailed check,72.58,345.8,Yes
CUST56,Female,0,Yes,No,70,No,Fiber optic,Month-to-month,Electronic check,109.9,7797.66,No
CUST57,Female,0,Yes,Yes,47,Yes,No,One year,Bank transfer,16.13,720.17,No
CUST58,Male,0,No,No,17,Yes,Fiber optic,Month-to-month,Credit card,73.86,1256.09,Yes
CUST59,Male,0,Yes,Yes,5,Yes,No,Month-to-month,Mailed check,90.05,373.52,No
CUST60,Male,0,No,No,65,Yes,DSL,Month-to-month,Electronic check,94.49,6092.55,Yes
CUST61,Male,0,Yes,Yes,41,Yes,No,Two year,Mailed check,47.61,1917.04,No
CUST62,Male,0,No,Yes,51,Yes,DSL,Month-to-month,Bank transfer,36.93,1793.01,Yes
CUST63,Male,0,No,Yes,10,Yes,No,Month-to-month,Bank transfer,52.39,517.61,Yes
CUST64,Male,0,No,Yes,25,Yes,No,Two year,Electronic check,105.73,2676.33,No
CUST65,Male,0,Yes,No,20,Yes,DSL,Month-to-month,Mailed check,18.71,417.0,No
CUST66,Female,0,No,No,65,Yes,Fiber optic,Month-to-month,Mailed check,33.52,2097.95,Yes
CUST67,Female,0,No,No,39,No,Fiber optic,Month-to-month,Bank transfer,56.24,2132.73,Yes
CUST68,Male,0,Yes,Yes,55,Yes,DSL,Two year,Mailed check,40.73,2325.24,No
CUST69,Female,0,No,No,50,Yes,Fiber optic,One year,Mailed check,68.75,3376.63,No
CUST70,Female,1,No,Yes,19,Yes,DSL,One year,Mailed check,112.44,2218.78,No
CUST71,Female,0,No,No,56,Yes,No,Month-to-month,Electronic check,33.89,1824.59,No
CUST72,Female,0,Yes,Yes,4,Yes,DSL,Month-to-month,Bank transfer,65.61,300.14,No
CUST73,Male,0,Yes,No,13,Yes,Fiber optic,Month-to-month,Credit card,69.75,981.99,No
CUST74,Female,1,Yes,Yes,23,Yes,DSL,Month-to-month,Electronic check,59.96,1114.11,No
CUST75,Male,1,Yes,Yes,67,Yes,DSL,One year,Bank transfer,22.65,1604.4,No
CUST76,Female,0,No,No,51,Yes,Fiber optic,Month-to-month,Electronic check,50.87,2724.78,No
CUST77,Female,0,Yes,No,47,Yes,Fiber optic,One year,Credit card,50.95,2363.76,No
CUST78,Female,0,Yes,No,46,Yes,DSL,Month-to-month,Electronic check,89.01,4129.03,No
CUST79,Male,0,Yes,Yes,59,Yes,No,Month-to-month,Electronic check,82.59,4788.9,Yes
CUST80,Female,0,No,Yes,2,No,DSL,One year,Credit card,23.44,83.23,No
CUST81,Male,0,No,Yes,8,Yes,Fiber optic,Month-to-month,Mailed check,58.39,713.22,Yes
CUST82,Female,0,No,No,23,No,Fiber optic,One year,Bank transfer,54.99,1045.1,No
CUST83,Male,0,Yes,Yes,3,Yes,Fiber optic,Month-to-month,Credit card,128.64,335.85,Yes
CUST84,Female,1,No,No,8,No,DSL,One year,Electronic check,78.77,709.84,Yes
CUST85,Male,0,No,Yes,0,Yes,Fiber optic,Two year,Mailed check,37.68,126.16,No
CUST86,Male,0,Yes,No,34,Yes,Fiber optic,Month-to-month,Electronic check,46.7,1449.56,Yes
CUST87,Female,0,No,Yes,11,Yes,DSL,Month-to-month,Mailed check,58.64,581.22,Yes
CUST88,Male,0,Yes,Yes,17,Yes,DSL,Month-to-month,Electronic check,80.87,1316.76,Yes
CUST89,Female,0,Yes,No,9,Yes,DSL,One year,Bank transfer,84.55,695.65,No
CUST90,Female,0,No,Yes,17,Yes,DSL,Month-to-month,Bank transfer,76.01,1280.55,No
CUST91,Female,1,Yes,Yes,23,Yes,DSL,Month-to-month,Electronic check,63.71,1322.46,No
CUST92,Female,0,Yes,No,0,Yes,DSL,One year,Credit card,65.92,-25.45,No
CUST93,Female,0,Yes,Yes,71,Yes,Fiber optic,One year,Electronic check,66.13,4601.62,No
CUST94,Female,0,Yes,No,15,Yes,DSL,Two year,Electronic check,16.51,240.76,Yes
CUST95,Female,0,Yes,No,14,Yes,DSL,Month-to-month,Credit card,68.16,883.73,No
CUST96,Female,0,Yes,Yes,61,Yes,DSL,Month-to-month,Credit card,52.68,3196.58,No
CUST97,Female,0,No,Yes,4,Yes,Fiber optic,Two year,Electronic check,20.42,-21.96,Yes
CUST98,Female,0,Yes,Yes,44,Yes,DSL,Month-to-month,Mailed check,142.54,6367.03,No
CUST99,Female,0,Yes,No,51,Yes,Fiber optic,One year,Bank transfer,79.34,4013.78,Yes
CUST100,Male,0,Yes,Yes,70,Yes,Fiber optic,One year,Mailed check,70.39,4928.68,Yes
CUST101,Male,0,Yes,No,6,Yes,Fiber optic,Month-to-month,Credit card,58.87,338.64,No
CUST102,Female,0,No,Yes,26,Yes,DSL,Month-to-month,Bank transfer,91.91,2390.38,Yes
CUST103,Female,0,No,Yes,12,Yes,Fiber optic,Month-to-month,Electronic check,35.13,421.78,Yes
CUST104,Female,0,Yes,No,16,Yes,DSL,Month-to-month,Bank transfer,60.62,1050.43,Yes
CUST105,Female,0,No,Yes,43,Yes,No,Month-to-month,Electronic check,41.43,1752.88,Yes
CUST106,Female,0,Yes,Yes,12,Yes,Fiber optic,One year,Electronic check,91.65,1027.82,Yes
CUST107,Female,0,Yes,Yes,4,Yes,Fiber optic,Month-to-month,Credit card,45.2,184.97,No
CUST108,Female,0,Yes,Yes,32,Yes,No,Month-to-month,Mailed check,103.04,3235.99,Yes
CUST109,Female,1,Yes,Yes,3,Yes,Fiber optic,Month-to-month,Credit card,67.02,193.57,No
CUST110,Male,1,No,No,25,Yes,DSL,Month-to-month,Credit card,93.23,2225.55,No
CUST111,Female,0,No,Yes,67,Yes,DSL,Month-to-month,Bank transfer,82.0,5598.98,No
CUST112,Male,0,Yes,No,15,Yes,Fiber optic,Month-to-month,Mailed check,101.78,1448.65,Yes
CUST113,Female,0,Yes,Yes,21,Yes,No,Month-to-month,Mailed check,41.94,1000.68,No
CUST114,Female,0,No,Yes,35,Yes,No,Month-to-month,Mailed check,97.17,3394.84,No
CUST115,Male,0,No,No,57,Yes,Fiber optic,Month-to-month,Mailed check,14.12,890.46,Yes
CUST116,Female,0,Yes,Yes,54,Yes,DSL,One year,Bank transfer,71.29,3772.93,No
CUST117,Male,0,No,Yes,34,Yes,Fiber optic,Month-to-month,Bank transfer,53.62,1626.4,No
CUST118,Female,0,Yes,No,24,Yes,Fiber optic,Month-to-month,Credit card,27.86,503.76,No
CUST119,Female,0,No,No,71,Yes,Fiber optic,Two year,Credit card,43.19,3316.78,No
CUST120,Male,0,No,Yes,60,Yes,Fiber optic,One year,Mailed check,50.78,2987.01,Yes
CUST121,Female,0,No,No,17,Yes,Fiber optic,Month-to-month,Credit card,64.1,1199.32,Yes
CUST122,Male,0,No,No,57,Yes,No,Month-to-month,Bank transfer,54.25,2962.47,No
CUST123,Female,0,Yes,No,56,Yes,Fiber optic,One year,Credit card,72.4,4072.29,No
CUST124,Male,1,Yes,No,62,Yes,DSL,Month-to-month,Electronic check,45.1,2831.04,Yes
CUST125,Male,0,No,Yes,11,Yes,DSL,Month-to-month,Credit card,55.69,896.23,No
CUST126,Female,0,Yes,Yes,10,No,No,Month-to-month,Bank transfer,61.33,581.51,Yes
CUST127,Female,0,No,No,12,Yes,No,Two year,Mailed check,75.46,834.39,No
CUST128,Male,1,No,Yes,34,No,DSL,Month-to-month,Electronic check,95.47,3281.07,No
CUST129,Female,0,Yes,No,26,Yes,Fiber optic,Month-to-month,Electronic check,95.61,2393.38,No
CUST130,Female,0,Yes,Yes,66,Yes,No,Month-to-month,Electronic check,77.12,5130.88,No
CUST131,Female,0,Yes,Yes,44,Yes,No,Month-to-month,Credit card,82.91,3642.69,No
CUST132,Male,0,No,No,66,Yes,Fiber optic,Month-to-month,Credit card,,5162.38,Yes
CUST133,Male,0,Yes,No,21,Yes,DSL,Two year,Electronic check,60.56,1321.2,No
CUST134,Male,0,Yes,Yes,41,Yes,Fiber optic,Month-to-month,Electronic check,97.02,3988.65,No
CUST135,Male,0,Yes,Yes,19,Yes,DSL,Two year,Mailed check,42.57,884.86,No
CUST136,Male,0,Yes,Yes,47,Yes,No,Month-to-month,Mailed check,8.56,567.57,Yes
CUST137,Male,1,No,No,17,No,DSL,Month-to-month,Electronic check,38.76,608.76,No
CUST138,Male,0,No,Yes,69,Yes,Fiber optic,Month-to-month,Mailed check,112.09,7693.06,No
CUST139,Male,0,No,No,5,Yes,Fiber optic,Month-to-month,Bank transfer,61.14,171.14,No
CUST140,Male,0,No,No,38,Yes,Fiber optic,Month-to-month,Credit card,,3024.46,No
CUST141,Female,0,No,No,10,Yes,Fiber optic,One year,Mailed check,61.78,553.32,No
CUST142,Male,1,No,Yes,24,Yes,DSL,Month-to-month,Bank transfer,86.85,2118.95,No
CUST143,Female,0,No,No,54,Yes,Fiber optic,Month-to-month,Credit card,72.12,4011.03,No
CUST144,Female,0,Yes,Yes,57,Yes,DSL,One year,Mailed check,67.94,3804.14,No
CUST145,Female,0,No,No,36,Yes,DSL,Month-to-month,Credit card,88.41,3135.33,No
CUST146,Male,0,No,Yes,15,Yes,No,Month-to-month,Bank transfer,56.03,941.9,No
CUST147,Male,0,No,Yes,69,Yes,Fiber optic,Month-to-month,Bank transfer,81.16,5670.78,Yes
CUST148,Male,0,No,No,36,Yes,Fiber optic,Month-to-month,Credit card,64.76,2391.51,No
CUST149,Male,0,Yes,No,52,Yes,Fiber optic,One year,Electronic check,66.78,3433.42,Yes
CUST150,Female,1,No,Yes,15,Yes,Fiber optic,Month-to-month,Mailed check,45.44,537.99,No
CUST151,Male,0,No,Yes,17,Yes,Fiber optic,Two year,Electronic check,63.52,1008.66,No
CUST152,Male,0,Yes,No,18,Yes,Fiber optic,Two year,Bank transfer,53.76,866.73,No
CUST153,Male,0,No,No,43,Yes,No,Month-to-month,Credit card,103.9,4525.85,No
CUST154,Male,0,No,Yes,1,Yes,Fiber optic,Month-to-month,Mailed check,19.48,47.93,No
CUST155,Male,0,No,Yes,57,Yes,Fiber optic,One year,Mailed check,96.68,5450.9,No
CUST156,Female,0,No,No,9,Yes,Fiber optic,Two year,Electronic check,17.67,116.24,No
CUST157,Male,0,No,Yes,45,Yes,DSL,Month-to-month,Mailed check,86.12,3922.96,Yes
CUST158,Female,0,No,No,18,Yes,Fiber optic,Two year,Mailed check,44.87,775.73,No
CUST159,Male,0,No,No,37,Yes,No,Two year,Mailed check,86.99,3160.52,Yes
CUST160,Female,1,Yes,No,36,Yes,DSL,Month-to-month,Bank transfer,66.36,,No
CUST161,Male,0,Yes,No,44,Yes,DSL,One year,Electronic check,27.03,1134.36,No
CUST162,Male,0,No,Yes,33,Yes,Fiber optic,Month-to-month,Bank transfer,110.76,3721.94,Yes
CUST163,Female,0,Yes,No,1,Yes,DSL,Month-to-month,Credit card,93.3,132.56,No
CUST164,Female,0,No,No,43,Yes,No,Month-to-month,Credit card,85.1,3506.97,Yes
CUST165,Female,0,Yes,Yes,26,Yes,DSL,Month-to-month,Electronic check,50.79,1252.64,Yes
CUST166,Male,0,No,Yes,47,Yes,DSL,One year,Credit card,94.33,4515.42,Yes
CUST167,Female,0,Yes,No,6,Yes,No,Month-to-month,Bank transfer,31.5,175.85,No
CUST168,Male,0,No,No,26,No,DSL,Month-to-month,Bank transfer,3.17,,No
CUST169,Male,0,Yes,No,70,Yes,Fiber optic,Two year,Bank transfer,23.13,1658.55,Yes
CUST170,Female,0,Yes,No,17,Yes,No,Month-to-month,Bank transfer,42.34,661.55,No
CUST171,Female,0,No,No,32,Yes,Fiber optic,Month-to-month,Electronic check,47.35,1558.79,No
CUST172,Male,0,No,No,32,Yes,Fiber optic,Month-to-month,Mailed check,56.95,2091.18,No
CUST173,Male,0,Yes,Yes,24,Yes,DSL,Month-to-month,Credit card,58.29,1437.2,No
CUST174,Female,0,Yes,Yes,13,Yes,DSL,One year,Electronic check,50.5,717.72,No
CUST175,Female,0,No,No,37,Yes,DSL,Month-to-month,Mailed check,6.51,215.47,Yes
CUST176,Female,0,Yes,Yes,37,No,DSL,Month-to-month,Electronic check,75.76,2691.16,No
CUST177,Male,0,No,Yes,3,Yes,Fiber optic,Month-to-month,Credit card,62.06,288.57,No
CUST178,Male,0,Yes,No,61,Yes,DSL,Month-to-month,Electronic check,49.11,2935.13,Yes
CUST179,Male,0,Yes,Yes,9,Yes,Fiber optic,Month-to-month,Credit card,111.94,984.54,No
CUST180,Male,0,No,Yes,34,Yes,DSL,Month-to-month,Electronic check,62.74,2312.51,No
CUST181,Male,0,No,No,22,Yes,Fiber optic,Month-to-month,Electronic check,71.76,1544.95,Yes
CUST182,Male,0,No,No,64,Yes,DSL,Month-to-month,Bank transfer,,,Yes
CUST183,Female,0,Yes,No,24,Yes,DSL,Month-to-month,Electronic check,25.3,645.95,Yes
CUST184,Male,0,Yes,Yes,52,Yes,Fiber optic,Month-to-month,Electronic check,69.32,3549.33,No
CUST185,Male,0,Yes,No,16,Yes,Fiber optic,Month-to-month,Mailed check,93.78,1534.62,No
CUST186,Male,0,No,Yes,56,Yes,No,One year,Bank transfer,67.26,3694.92,Yes
CUST187,Female,1,Yes,No,19,Yes,No,One year,Credit card,30.9,677.57,No
CUST188,Male,0,Yes,No,24,Yes,Fiber optic,Month-to-month,Bank transfer,55.53,1457.43,No
CUST189,Male,0,No,No,41,Yes,Fiber optic,Two year,Electronic check,75.67,3107.37,No
CUST190,Female,0,Yes,No,44,Yes,DSL,Two year,Credit card,6.79,433.01,No
CUST191,Male,0,Yes,Yes,30,Yes,DSL,Month-to-month,Electronic check,29.42,898.61,No
CUST192,Male,0,No,Yes,64,Yes,No,One year,Bank transfer,129.21,8360.89,No
CUST193,Male,0,No,No,51,Yes,DSL,Month-to-month,Bank transfer,84.54,4606.66,No
CUST194,Male,0,No,Yes,20,Yes,DSL,Two year,Electronic check,114.5,2537.51,No
CUST195,Male,0,No,No,29,Yes,DSL,Month-to-month,Electronic check,95.99,2765.45,No
CUST196,Female,0,No,No,2,Yes,DSL,Two year,Electronic check,,192.99,No
CUST197,Female,1,No,Yes,69,No,Fiber optic,Month-to-month,Mailed check,60.73,4084.97,No
CUST198,Female,0,No,Yes,42,Yes,DSL,Month-to-month,Bank transfer,81.44,3500.34,No
CUST199,Male,1,No,No,28,Yes,Fiber optic,One year,Mailed check,113.5,3216.92,No
CUST200,Male,0,No,No,2,Yes,DSL,One year,Bank transfer,94.77,112.14,No
CUST201,Male,0,Yes,No,57,Yes,Fiber optic,One year,Bank transfer,75.0,4393.68,No
CUST202,Female,0,No,Yes,32,Yes,Fiber optic,Two year,Credit card,64.83,2048.0,No
CUST203,Male,0,No,No,44,Yes,DSL,One year,Credit card,84.95,3685.71,No
CUST204,Male,0,Yes,No,68,No,Fiber optic,One year,Bank transfer,54.04,3714.67,No
CUST205,Female,1,No,No,31,Yes,DSL,Month-to-month,Credit card,84.95,2586.94,Yes
CUST206,Male,1,Yes,No,51,Yes,Fiber optic,Month-to-month,Bank transfer,49.06,2498.89,No
CUST207,Female,0,Yes,No,63,Yes,Fiber optic,Month-to-month,Bank transfer,59.38,,No
CUST208,Female,0,No,No,39,Yes,No,One year,Electronic check,39.17,1466.16,No
CUST209,Female,0,Yes,Yes,12,Yes,DSL,Month-to-month,Credit card,56.81,749.26,No
CUST210,Male,1,No,No,28,Yes,DSL,Month-to-month,Mailed check,49.49,1327.37,No
CUST211,Male,0,No,No,62,Yes,DSL,Month-to-month,Mailed check,120.76,7389.8,No
CUST212,Male,0,Yes,Yes,25,Yes,DSL,Two year,Credit card,43.17,1071.1,No
CUST213,Male,0,Yes,Yes,58,Yes,DSL,Month-to-month,Bank transfer,81.55,4998.34,Yes
CUST214,Male,0,Yes,No,48,Yes,DSL,Month-to-month,Mailed check,41.59,2074.48,No
CUST215,Male,1,No,Yes,52,Yes,Fiber optic,Month-to-month,Credit card,71.41,3759.53,No
CUST216,Male,0,No,No,30,Yes,No,Month-to-month,Mailed check,78.7,2308.54,No
CUST217,Female,0,Yes,Yes,11,Yes,DSL,Month-to-month,Electronic check,14.47,120.71,Yes
CUST218,Male,0,No,Yes,57,Yes,No,Month-to-month,Bank transfer,28.07,1451.64,No
CUST219,Female,0,No,No,35,Yes,No,Month-to-month,Electronic check,41.36,1627.1,No
CUST220,Male,0,Yes,Yes,9,No,No,One year,Mailed check,30.9,304.99,No
CUST221,Male,0,Yes,No,5,Yes,No,One year,Bank transfer,72.52,380.79,No
CUST222,Male,0,Yes,Yes,6,No,Fiber optic,Month-to-month,Bank transfer,77.28,484.06,No
CUST223,Female,1,Yes,No,30,Yes,Fiber optic,One year,Bank transfer,38.11,1352.31,No
CUST224,Female,0,Yes,Yes,71,Yes,Fiber optic,One year,Credit card,73.73,5264.78,Yes
CUST225,Female,0,Yes,No,2,Yes,Fiber optic,One year,Credit card,57.28,95.31,No
CUST226,Female,1,Yes,No,46,Yes,No,Month-to-month,Bank transfer,67.02,3262.83,No
CUST227,Male,0,Yes,No,0,Yes,DSL,Month-to-month,Bank transfer,51.15,,Yes
CUST228,Female,0,Yes,No,44,Yes,DSL,One year,Bank transfer,84.63,,No
CUST229,Male,0,Yes,Yes,53,Yes,Fiber optic,Month-to-month,Electronic check,119.05,6156.95,No
CUST230,Male,0,No,No,49,No,Fiber optic,Month-to-month,Electronic check,93.23,4549.1,No
CUST231,Female,0,No,Yes,6,No,No,Month-to-month,Mailed check,111.8,699.96,No
CUST232,Female,1,Yes,Yes,62,Yes,DSL,One year,Bank transfer,27.92,1813.23,No
CUST233,Female,0,No,No,14,Yes,Fiber optic,Month-to-month,Bank transfer,49.73,604.39,Yes
CUST234,Female,0,No,No,66,Yes,DSL,Month-to-month,Electronic check,86.96,5716.83,No
CUST235,Female,0,No,Yes,29,Yes,No,One year,Mailed check,115.25,3261.28,No
CUST236,Female,0,No,Yes,67,Yes,DSL,Two year,Mailed check,89.51,6108.54,Yes
CUST237,Female,0,No,Yes,35,Yes,No,Month-to-month,Bank transfer,39.21,1500.59,No
CUST238,Female,0,No,No,66,Yes,DSL,Month-to-month,Credit card,56.96,3955.19,No
CUST239,Male,0,Yes,No,4,Yes,DSL,One year,Mailed check,,355.15,No
CUST240,Female,0,Yes,Yes,24,Yes,DSL,Month-to-month,Mailed check,65.06,1747.97,No
CUST241,Female,1,No,Yes,10,Yes,DSL,One year,Bank transfer,46.04,391.11,Yes
CUST242,Male,0,No,Yes,71,Yes,Fiber optic,One year,Bank transfer,61.29,4373.18,No
CUST243,Female,0,Yes,No,65,Yes,DSL,Month-to-month,Bank transfer,69.57,4415.97,Yes
CUST244,Male,0,No,Yes,27,Yes,Fiber optic,Month-to-month,Electronic check,37.45,1068.48,Yes
CUST245,Male,0,No,Yes,59,Yes,DSL,Month-to-month,Bank transfer,99.54,5901.33,No
CUST246,Female,0,No,Yes,9,Yes,No,One year,Credit card,56.81,265.91,No
CUST247,Male,0,No,Yes,49,Yes,DSL,Month-to-month,Credit card,67.82,3434.14,Yes
CUST248,Male,0,No,No,38,Yes,DSL,Month-to-month,Mailed check,101.05,3925.44,No
CUST249,Male,0,Yes,Yes,36,Yes,Fiber optic,Month-to-month,Electronic check,66.25,2329.44,Yes
CUST250,Male,1,Yes,No,62,Yes,No,Month-to-month,Mailed check,99.41,6191.54,No
CUST251,Female,1,No,No,60,Yes,No,Month-to-month,Electronic check,39.12,2197.83,No
CUST252,Male,1,Yes,Yes,37,Yes,No,Month-to-month,Bank transfer,82.99,2993.61,No
CUST253,Female,0,No,No,32,No,DSL,One year,Mailed check,95.18,3212.67,No
CUST254,Male,0,No,Yes,44,Yes,No,Month-to-month,Credit card,45.1,1868.97,Yes
CUST255,Male,0,No,Yes,43,Yes,Fiber optic,Month-to-month,Electronic check,64.65,2780.9,No
CUST256,Male,0,No,Yes,0,No,No,One year,Mailed check,65.27,-139.64,No
CUST257,Male,0,No,Yes,52,No,DSL,One year,Credit card,76.29,4000.87,No
CUST258,Female,0,No,Yes,46,Yes,No,One year,Credit card,84.24,3931.31,No
CUST259,Female,0,No,No,32,Yes,Fiber optic,Month-to-month,Bank transfer,42.66,1437.53,Yes
CUST260,Male,0,No,No,66,Yes,Fiber optic,Month-to-month,Electronic check,68.2,4548.0,No
CUST261,Male,0,No,Yes,14,Yes,Fiber optic,Month-to-month,Mailed check,117.74,1791.04,No
CUST262,Female,0,Yes,No,13,Yes,Fiber optic,Two year,Credit card,101.62,1265.66,No
CUST263,Male,0,No,Yes,22,Yes,Fiber optic,Two year,Electronic check,93.82,1958.21,Yes
CUST264,Male,0,Yes,No,53,Yes,DSL,One year,Bank transfer,64.22,3344.94,No
CUST265,Male,0,Yes,No,7,Yes,Fiber optic,Month-to-month,Electronic check,133.86,802.4,No
CUST266,Female,0,No,Yes,53,No,Fiber optic,One year,Electronic check,100.89,5355.05,Yes
CUST267,Female,0,Yes,No,35,Yes,Fiber optic,Two year,Mailed check,71.12,2475.24,Yes
CUST268,Female,0,No,No,51,Yes,DSL,Month-to-month,Electronic check,76.61,3954.86,Yes
CUST269,Male,0,No,No,5,No,No,Month-to-month,Bank transfer,56.23,119.53,No
CUST270,Male,0,No,Yes,27,Yes,Fiber optic,Month-to-month,Credit card,81.8,2207.3,No
CUST271,Female,0,No,No,49,Yes,DSL,Month-to-month,Mailed check,87.79,4423.16,No
CUST272,Female,1,Yes,No,37,Yes,Fiber optic,Month-to-month,Credit card,91.08,3427.18,No
CUST273,Female,0,Yes,No,29,Yes,DSL,Two year,Electronic check,64.58,1683.27,No
CUST274,Female,0,No,No,53,Yes,DSL,Two year,Bank transfer,25.79,1365.7,No
CUST275,Male,0,Yes,No,70,Yes,Fiber optic,Two year,Credit card,77.25,5334.22,Yes
CUST276,Female,1,Yes,No,45,Yes,Fiber optic,Month-to-month,Bank transfer,91.2,4105.29,Yes
CUST277,Male,0,Yes,No,27,Yes,DSL,Month-to-month,Electronic check,40.64,1059.21,No
CUST278,Female,0,No,No,16,Yes,DSL,One year,Electronic check,67.28,1250.41,No
CUST279,Male,0,Yes,No,47,Yes,No,Month-to-month,Credit card,110.24,5189.85,No
CUST280,Female,1,Yes,Yes,43,Yes,DSL,Month-to-month,Mailed check,33.9,1489.38,Yes
